experiment,mode,seed,shots,max_rounds,gamma_x,chi,zeta,eta_t,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,1,,,50.975,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,2.021480502313285,1.0,1.0,0.26342092039651555,1.0,,2.0,0.9056252294448107,
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,1,,,50.975,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,2.021480502313285,1.0,1.0,0.26342092039651555,1.0,,4.0,0.7452389357390582,
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,1,,,50.975,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,2.021480502313285,1.0,1.0,0.26342092039651555,1.0,,8.0,0.37885676565576515,
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,1,,,50.975,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,2.021480502313285,1.0,1.0,0.26342092039651555,1.0,,16.0,0.02492065047736007,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,52.041666666666664,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,7.425683709869203,1.0209252901749222,3.673388737300017,0.12694791897978214,0.4819204138710517,,1.0,0.9892780118694576,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,52.041666666666664,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,7.425683709869203,1.0209252901749222,3.673388737300017,0.12694791897978214,0.4819204138710517,,2.0,0.9577044157731953,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,52.041666666666664,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,7.425683709869203,1.0209252901749222,3.673388737300017,0.12694791897978214,0.4819204138710517,,4.0,0.8399074618856432,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,52.041666666666664,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,7.425683709869203,1.0209252901749222,3.673388737300017,0.12694791897978214,0.4819204138710517,,9.0,0.372112686226184,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,80.28333333333333,69.15,0.25,0.75,11.133333333333333,7.211077844311378,1.5749550433218897,3.567226018781466,0.15092926953463565,0.5729585535858301,,1.0,0.9441015665189256,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,80.28333333333333,69.15,0.25,0.75,11.133333333333333,7.211077844311378,1.5749550433218897,3.567226018781466,0.15092926953463565,0.5729585535858301,,2.0,0.8745401688290747,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,80.28333333333333,69.15,0.25,0.75,11.133333333333333,7.211077844311378,1.5749550433218897,3.567226018781466,0.15092926953463565,0.5729585535858301,,4.0,0.7091136106576326,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,1.0,1.0,0.02,0.02,1.0,6,,,80.28333333333333,69.15,0.25,0.75,11.133333333333333,7.211077844311378,1.5749550433218897,3.567226018781466,0.15092926953463565,0.5729585535858301,,9.0,0.29077712885040896,
