experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,25.758333333333333,21.0,22.408907495306096,29.10775917136057,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,1.021480502313285,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,2.0,0.9056252294448107,
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,25.758333333333333,21.0,22.408907495306096,29.10775917136057,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,1.021480502313285,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,4.0,0.7452389357390582,
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,25.758333333333333,21.0,22.408907495306096,29.10775917136057,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,1.021480502313285,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,8.0,0.37885676565576515,
coherence_experiment,full_syndrome,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,25.758333333333333,21.0,22.408907495306096,29.10775917136057,25.758333333333333,0.9833333333333333,0.01666666666666672,25.216666666666665,1.021480502313285,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,16.0,0.02492065047736007,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,45.03333333333333,43.5,39.915181379274465,50.1514852873922,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,6.425683709869203,1.7483015205435133,6.290559335510904,0.12694791897978214,0.09001409957784268,0.1638817383817216,0.4819204138710517,,1.0,0.9892780118694576,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,45.03333333333333,43.5,39.915181379274465,50.1514852873922,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,6.425683709869203,1.7483015205435133,6.290559335510904,0.12694791897978214,0.09001409957784268,0.1638817383817216,0.4819204138710517,,2.0,0.9577044157731953,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,45.03333333333333,43.5,39.915181379274465,50.1514852873922,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,6.425683709869203,1.7483015205435133,6.290559335510904,0.12694791897978214,0.09001409957784268,0.1638817383817216,0.4819204138710517,,4.0,0.8399074618856432,
coherence_experiment,naive_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,45.03333333333333,43.5,39.915181379274465,50.1514852873922,45.03333333333333,0.7166666666666667,0.2833333333333333,7.008333333333334,6.425683709869203,1.7483015205435133,6.290559335510904,0.12694791897978214,0.09001409957784268,0.1638817383817216,0.4819204138710517,,9.0,0.372112686226184,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,69.15,80.0,65.17868344050915,73.12131655949086,69.15,0.25,0.75,11.133333333333333,6.211077844311378,2.684568100938208,6.080466372334594,0.11359593620130237,0.08529716726932356,0.1418947051332812,0.4312335407161723,,1.0,0.9800142235077107,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,69.15,80.0,65.17868344050915,73.12131655949086,69.15,0.25,0.75,11.133333333333333,6.211077844311378,2.684568100938208,6.080466372334594,0.11359593620130237,0.08529716726932356,0.1418947051332812,0.4312335407161723,,2.0,0.942338821994191,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,69.15,80.0,65.17868344050915,73.12131655949086,69.15,0.25,0.75,11.133333333333333,6.211077844311378,2.684568100938208,6.080466372334594,0.11359593620130237,0.08529716726932356,0.1418947051332812,0.4312335407161723,,4.0,0.8233234095722588,
coherence_experiment,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,6,,,69.15,80.0,65.17868344050915,73.12131655949086,69.15,0.25,0.75,11.133333333333333,6.211077844311378,2.684568100938208,6.080466372334594,0.11359593620130237,0.08529716726932356,0.1418947051332812,0.4312335407161723,,9.0,0.40689578392285347,
