experiment,mode,seed,shots,max_rounds,gamma_x,chi,zeta,eta_t,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_gain,full_syndrome,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,1,2,2,63.51800000000009,62.891666666666666,0.36666666666666664,0.6333333333333333,62.63333333333333,1.014124534326771,1.0,1.0,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,2,2,2,65.06299999999992,,0.3416666666666667,,,2.024782157676346,1.0243238137220918,1.9965813755018778,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,3,2,2,60.168250000000086,,0.4583333333333333,,,3.1134928848641703,0.9472629805724361,3.0701287460036353,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,4,2,2,54.89133333333327,,0.575,,,4.1271679197994935,0.8641854802313232,4.069685507154527,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,2,2,2,74.03374999999987,,0.15833333333333333,,,2.0168104426787705,1.1655554331055726,1.9887206890400644,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,3,2,2,70.1011666666668,,0.25,,,3.09953574060428,1.1036425370236262,3.0563659942039703,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.001,0.001,1.0,4,2,2,71.71074999999995,,0.20833333333333334,,,4.041939877876935,1.1289831228942953,3.9856445052482496,,,,,,crossover=0
phase_diagram_gain,full_syndrome,11,120,80,0.03,4.0,0.05,0.01,1.0,0.1,0.1,1.0,1,4,4,14.709749999999994,14.566666666666666,0.9916666666666667,0.008333333333333304,14.308333333333334,1.0280547466511354,1.0,1.0,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.1,0.1,1.0,2,4,4,18.53891666666665,,0.9916666666666667,,,2.084976569821929,1.2603148705223854,2.0280793183570154,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,120,80,0.03,4.0,0.05,0.01,1.0,0.1,0.1,1.0,3,4,4,22.654916666666676,,0.975,,,3.164831199068686,1.54012927933287,3.0784656258609284,,,,,,crossover=0
