experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
coherence_experiment,full_syndrome,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,20.9,20.5,18.172218817937335,23.627781182062662,20.9,0.8125,0.1875,20.475,1.0207570207570207,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,2.0,0.9056252294448107,
coherence_experiment,full_syndrome,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,20.9,20.5,18.172218817937335,23.627781182062662,20.9,0.8125,0.1875,20.475,1.0207570207570207,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,4.0,0.7452389357390582,
coherence_experiment,full_syndrome,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,20.9,20.5,18.172218817937335,23.627781182062662,20.9,0.8125,0.1875,20.475,1.0207570207570207,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,8.0,0.37885676565576515,
coherence_experiment,full_syndrome,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,1,,,20.9,20.5,18.172218817937335,23.627781182062662,20.9,0.8125,0.1875,20.475,1.0207570207570207,1.0,1.0,0.26342092039651555,0.19270941455029916,0.33413242624273193,1.0,,16.0,0.02492065047736007,
coherence_experiment,naive_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,29.325,38.5,26.570790354357186,32.07920964564281,29.325,0.5,0.5,7.0625,4.152212389380531,1.40311004784689,4.067777448448152,0.13442940571106865,0.09930364706868033,0.16955516435345697,0.5103216764587952,,1.0,0.9893378334928548,
coherence_experiment,naive_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,29.325,38.5,26.570790354357186,32.07920964564281,29.325,0.5,0.5,7.0625,4.152212389380531,1.40311004784689,4.067777448448152,0.13442940571106865,0.09930364706868033,0.16955516435345697,0.5103216764587952,,2.0,0.958010870480593,
coherence_experiment,naive_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,29.325,38.5,26.570790354357186,32.07920964564281,29.325,0.5,0.5,7.0625,4.152212389380531,1.40311004784689,4.067777448448152,0.13442940571106865,0.09930364706868033,0.16955516435345697,0.5103216764587952,,5.0,0.7259744240239027,
coherence_experiment,naive_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,29.325,38.5,26.570790354357186,32.07920964564281,29.325,0.5,0.5,7.0625,4.152212389380531,1.40311004784689,4.067777448448152,0.13442940571106865,0.09930364706868033,0.16955516435345697,0.5103216764587952,,10.0,0.3027491446717268,
coherence_experiment,autonomous_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,38.5125,40.0,37.239505326062435,39.78549467393757,38.5125,0.0875,0.9125,9.575,4.0221932114882515,1.8427033492822968,3.9404022012067923,0.1365752328250975,0.10457228866704785,0.16857817698314717,0.5184676775842899,,1.0,0.9794177182556794,
coherence_experiment,autonomous_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,38.5125,40.0,37.239505326062435,39.78549467393757,38.5125,0.0875,0.9125,9.575,4.0221932114882515,1.8427033492822968,3.9404022012067923,0.1365752328250975,0.10457228866704785,0.16857817698314717,0.5184676775842899,,2.0,0.9399958102079754,
coherence_experiment,autonomous_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,38.5125,40.0,37.239505326062435,39.78549467393757,38.5125,0.0875,0.9125,9.575,4.0221932114882515,1.8427033492822968,3.9404022012067923,0.1365752328250975,0.10457228866704785,0.16857817698314717,0.5184676775842899,,5.0,0.6984084944297362,
coherence_experiment,autonomous_sparse,11,120,40,0.03,4.0,0.05,0.05,1.0,,,1.0,0.02,0.02,1.0,4,,,38.5125,40.0,37.239505326062435,39.78549467393757,38.5125,0.0875,0.9125,9.575,4.0221932114882515,1.8427033492822968,3.9404022012067923,0.1365752328250975,0.10457228866704785,0.16857817698314717,0.5184676775842899,,10.0,0.2936135179813919,
