experiment,mode,seed,shots,max_rounds,gamma_x,chi,sigma_z,zeta,eta_t,t_m,t_r,tau_int,p_m,p_r,alpha_pr_over_pm,k,k_star,k_star_naive,lifetime_time,lifetime_time_median,lifetime_time_ci_low,lifetime_time_ci_high,lifetime_rounds,logical_failure_prob,survival_prob,avg_measurements_to_fail,measurement_efficiency,gain_vs_full,measurement_gain_vs_full,gamma_lphi,gamma_lphi_ci_low,gamma_lphi_ci_high,gamma_lphi_ratio_vs_full,safe_zone,coherence_time,coherence_value,notes
phase_diagram_gain,full_syndrome,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,1,2,2,17.875,20.0,16.23937532516684,19.51062467483316,17.875,0.15,0.85,17.825,1.002805049088359,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,19.475,,,,,0.075,,,2.012919896640827,1.0895104895104897,2.007289351475398,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,3,2,2,18.4,,,,,0.15,,,3.3761467889908254,1.0293706293706293,3.3667030217488927,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,2,2,2,19.65,,,,,0.025,,,2.0051020408163263,1.0993006993006993,1.9994933637790777,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.001,0.001,1.0,3,2,2,19.575,,,,,0.05,,,3.3461538461538463,1.0951048951048952,3.336793975255514,,,,,,,,crossover=0
phase_diagram_gain,full_syndrome,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,1,2,3,12.15,13.0,10.100873832268483,14.199126167731517,12.15,0.775,0.22499999999999998,12.0,1.0125,1.0,1.0,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,2,2,3,15.0,,,,,0.6,,,2.0270270270270268,1.2345679012345678,2.0020020020020017,,,,,,,,crossover=0
phase_diagram_gain,naive_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,3,2,3,15.35,,,,,0.55,,,3.301075268817204,1.2633744855967077,3.260321253152794,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,2,2,3,19.3,,,,,0.05,,,2.0051948051948054,1.5884773662551441,1.9804393137726475,,,,,,,,crossover=0
phase_diagram_gain,autonomous_sparse,11,40,20,0.03,4.0,0.05,0.05,0.01,,,1.0,0.1,0.1,1.0,3,2,3,18.65,,,,,0.15,,,3.3452914798206272,1.5349794238683125,3.3039915850080273,,,,,,,,crossover=0
